Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HALO TELKOMSEL,Chrome 116.0.0.0,,,2023-08-28 15:53:53,2023-08-28 15:56:37,2m - 44.042s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0811 KARTU HALO,Chrome 116.0.0.0,Prefix indo,,2023-08-28 15:53:53,2023-08-28 15:54:14,21.232s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 15:53:54,2023-08-28 15:53:56,2.442s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-28 15:53:56,2023-08-28 15:53:56,0.149s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 116.0.0.0,,,2023-08-28 15:53:56,2023-08-28 15:54:02,6.092s,PASSED
"setText(findTestObject(""Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 116.0.0.0,,,2023-08-28 15:54:02,2023-08-28 15:54:04,1.419s,PASSED
"setText(findTestObject(""Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 116.0.0.0,,,2023-08-28 15:54:04,2023-08-28 15:54:05,1.038s,PASSED
randomNum = generateRandomNumber(),Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:05,0.000s,PASSED
random = new java.util.Random(),Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:05,0.017s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:05,0.000s,PASSED
"randomNumber = ""0811"" + lastNineDigits",Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:05,0.000s,PASSED
return randomNumber,Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:05,0.000s,PASSED
"setText(findTestObject(""Membership Registration/input__number-form""), randomNum)",Chrome 116.0.0.0,,,2023-08-28 15:54:05,2023-08-28 15:54:06,1.175s,PASSED
"setEncryptedText(findTestObject(""Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 116.0.0.0,,,2023-08-28 15:54:06,2023-08-28 15:54:07,0.621s,PASSED
"setEncryptedText(findTestObject(""Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 116.0.0.0,,,2023-08-28 15:54:07,2023-08-28 15:54:07,0.628s,PASSED
"selectOptionByLabel(findTestObject(""Membership Registration/select_Pilih Kondisi Ibu Saat Ini""), ""Belum Hamil & Tidak Mempunyai Anak"", false)",Chrome 116.0.0.0,,,2023-08-28 15:54:07,2023-08-28 15:54:08,0.962s,PASSED
"click(findTestObject(""Membership Registration/button_Kirim Kode OTP""))",Chrome 116.0.0.0,,,2023-08-28 15:54:08,2023-08-28 15:54:09,0.708s,PASSED
delay(4),Chrome 116.0.0.0,,,2023-08-28 15:54:09,2023-08-28 15:54:13,4.052s,PASSED
"verifyTextPresent(""Berhasil"", false)",Chrome 116.0.0.0,,,2023-08-28 15:54:13,2023-08-28 15:54:13,0.514s,FAILED
"click(findTestObject(""Membership Registration/img""))",Chrome 116.0.0.0,,,2023-08-28 15:54:13,2023-08-28 15:54:14,0.947s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0812 TELKOMSEL,Chrome 116.0.0.0,Prefix indo,,2023-08-28 15:54:14,2023-08-28 15:54:46,31.946s,FAILED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-08-28 15:54:15,2023-08-28 15:54:17,1.915s,PASSED
maximizeWindow(),Chrome 116.0.0.0,,,2023-08-28 15:54:17,2023-08-28 15:54:17,0.146s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 116.0.0.0,,,2023-08-28 15:54:17,2023-08-28 15:54:35,17.948s,PASSED
