Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ISAT,Chrome 115.0.0.0,,,2023-08-01 13:53:23,2023-08-01 13:53:50,26.780s,PASSED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0857 INDOSAT M3,Chrome 115.0.0.0,Prefix indo,,2023-08-01 13:53:23,2023-08-01 13:53:50,26.453s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-08-01 13:53:24,2023-08-01 13:53:27,3.080s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-08-01 13:53:27,2023-08-01 13:53:27,0.156s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 115.0.0.0,,,2023-08-01 13:53:27,2023-08-01 13:53:37,10.564s,PASSED
"click(findTestObject(""Homepage/a_Register""))",Chrome 115.0.0.0,,,2023-08-01 13:53:37,2023-08-01 13:53:38,1.150s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 115.0.0.0,,,2023-08-01 13:53:38,2023-08-01 13:53:39,0.848s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 115.0.0.0,,,2023-08-01 13:53:39,2023-08-01 13:53:40,0.815s,PASSED
randomNum = generateRandomNumber(),Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:40,0.000s,PASSED
random = new java.util.Random(),Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:40,0.007s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:40,0.002s,PASSED
"randomNumber = ""0857"" + lastNineDigits",Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:40,0.001s,PASSED
return randomNumber,Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:40,0.000s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input__number-form""), randomNum)",Chrome 115.0.0.0,,,2023-08-01 13:53:40,2023-08-01 13:53:41,1.146s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.0.0,,,2023-08-01 13:53:41,2023-08-01 13:53:42,0.589s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.0.0,,,2023-08-01 13:53:42,2023-08-01 13:53:42,0.562s,PASSED
"selectOptionByLabel(findTestObject(""Page_Bebeclub - Membership Registration/select_Pilih Kondisi Ibu Saat Ini""), ""Belum Hamil & Tidak Mempunyai Anak"", false)",Chrome 115.0.0.0,,,2023-08-01 13:53:42,2023-08-01 13:53:43,0.839s,PASSED
"click(findTestObject(""Page_Bebeclub - Membership Registration/button_Kirim Kode OTP""))",Chrome 115.0.0.0,,,2023-08-01 13:53:43,2023-08-01 13:53:44,0.565s,PASSED
delay(4),Chrome 115.0.0.0,,,2023-08-01 13:53:44,2023-08-01 13:53:48,4.032s,PASSED
"verifyTextPresent(""Berhasil"", false)",Chrome 115.0.0.0,,,2023-08-01 13:53:48,2023-08-01 13:53:49,0.919s,PASSED
"click(findTestObject(""Page_Bebeclub - Membership Registration/img""))",Chrome 115.0.0.0,,,2023-08-01 13:53:49,2023-08-01 13:53:50,0.712s,PASSED
