Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
XL,Chrome 115.0.5790.110,,,2023-08-01 15:27:36,2023-08-01 15:33:26,5m - 49.641s,PASSED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0817 XL,Chrome 115.0.5790.110,Prefix indo,,2023-08-01 15:27:36,2023-08-01 15:27:52,15.745s,PASSED
"openBrowser("""")",Chrome 115.0.5790.110,,,2023-08-01 15:27:37,2023-08-01 15:27:40,2.757s,PASSED
maximizeWindow(),Chrome 115.0.5790.110,,,2023-08-01 15:27:40,2023-08-01 15:27:40,0.159s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 115.0.5790.110,,,2023-08-01 15:27:40,2023-08-01 15:27:46,5.640s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.497s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.283s,PASSED
randomNum = generateRandomNumber(),Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.002s,PASSED
random = new java.util.Random(),Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.002s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.008s,PASSED
"randomNumber = ""0817"" + lastNineDigits",Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.000s,PASSED
return randomNumber,Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:46,0.000s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input__number-form""), randomNum)",Chrome 115.0.5790.110,,,2023-08-01 15:27:46,2023-08-01 15:27:47,0.345s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 15:27:47,2023-08-01 15:27:47,0.290s,PASSED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 15:27:47,2023-08-01 15:27:47,0.249s,PASSED
