Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
XL,Chrome 115.0.5790.110,,,2023-08-01 14:49:41,2023-08-01 15:19:44,30m - 2.295s,FAILED
,,,,,,,
Test Cases/REGISTER/Prefix ID/0817 XL,Chrome 115.0.5790.110,Prefix indo,,2023-08-01 14:49:42,2023-08-01 14:54:43,5m - 1.275s,FAILED
"openBrowser("""")",Chrome 115.0.5790.110,,,2023-08-01 14:49:42,2023-08-01 14:49:44,2.234s,PASSED
maximizeWindow(),Chrome 115.0.5790.110,,,2023-08-01 14:49:44,2023-08-01 14:49:44,0.136s,PASSED
"navigateToUrl(""https://bebeclub.eydendigital.co.id/membership/registration"")",Chrome 115.0.5790.110,,,2023-08-01 14:49:44,2023-08-01 14:49:59,14.072s,FAILED
"click(findTestObject(""Homepage/a_Register""))",Chrome 115.0.5790.110,,,2023-08-01 14:49:59,2023-08-01 14:50:30,31.206s,FAILED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Depan_first-name-form""), ""aziza"")",Chrome 115.0.5790.110,,,2023-08-01 14:50:30,2023-08-01 14:51:01,31.148s,FAILED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input_Nama Belakang_last-name-form""), ""prefix"")",Chrome 115.0.5790.110,,,2023-08-01 14:51:01,2023-08-01 14:51:32,31.162s,FAILED
randomNum = generateRandomNumber(),Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:51:32,0.000s,PASSED
random = new java.util.Random(),Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:51:32,0.005s,PASSED
"lastNineDigits = String.format(""%09d"", random.nextInt(1000000000))",Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:51:32,0.001s,PASSED
"randomNumber = ""0817"" + lastNineDigits",Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:51:32,0.001s,PASSED
return randomNumber,Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:51:32,0.000s,PASSED
"setText(findTestObject(""Page_Bebeclub - Membership Registration/input__number-form""), randomNum)",Chrome 115.0.5790.110,,,2023-08-01 14:51:32,2023-08-01 14:52:03,31.102s,FAILED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Password_pass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 14:52:03,2023-08-01 14:52:34,31.185s,FAILED
"setEncryptedText(findTestObject(""Page_Bebeclub - Membership Registration/input_Konfirmasi Password_konfirmasipass-form""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 115.0.5790.110,,,2023-08-01 14:52:34,2023-08-01 14:53:05,31.107s,FAILED
"selectOptionByLabel(findTestObject(""Page_Bebeclub - Membership Registration/select_Pilih Kondisi Ibu Saat Ini""), ""Belum Hamil & Tidak Mempunyai Anak"", false)",Chrome 115.0.5790.110,,,2023-08-01 14:53:05,2023-08-01 14:53:37,31.168s,FAILED
"click(findTestObject(""Page_Bebeclub - Membership Registration/button_Kirim Kode OTP""))",Chrome 115.0.5790.110,,,2023-08-01 14:53:37,2023-08-01 14:54:08,31.120s,FAILED
delay(4),Chrome 115.0.5790.110,,,2023-08-01 14:54:08,2023-08-01 14:54:12,4.028s,PASSED
"verifyTextPresent(""Berhasil"", false)",Chrome 115.0.5790.110,,,2023-08-01 14:54:12,2023-08-01 14:54:12,0.070s,FAILED
